,nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x,Relbow_y,Rwrist_x,Rwrist_y,Lshoulder_x,Lshoulder_y,Lelbow_x,Lelbow_y,Lwrist_x,Lwrist_y,Rhip_x,Rhip_y,Rknee_x,Rknee_y,Rankle_x,Rankle_y,Lhip_x,Lhip_y,Lknee_x,Lknee_y,Lankle_x,Lankle_y,Reye_x,Reye_y,Leye_x,Leye_y,Rear_x,Rear_y,Lear_x,Lear_y,class
0,0.46,0.673333333,0.48,0.693333333,0.406666667,0.733333333,0.413333333,0.853333333,0.413333333,0.886666667,0.566666667,0.66,0.586666667,0.82,0.573333333,0.9,0.466666667,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.46,0.673333333,0.48,0.693333333,0.406666667,0.733333333,0.413333333,0.853333333,0.413333333,0.886666667,0.566666667,0.66,0.586666667,0.82,0.573333333,0.9,0.466666667,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.46,0.673333333,0.48,0.693333333,0.406666667,0.733333333,0.413333333,0.853333333,0.413333333,0.886666667,0.566666667,0.66,0.586666667,0.82,0.573333333,0.9,0.466666667,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0.46,0.673333333,0.48,0.693333333,0.406666667,0.733333333,0.413333333,0.853333333,0.413333333,0.886666667,0.566666667,0.66,0.586666667,0.82,0.573333333,0.9,0.466666667,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0.46,0.673333333,0.48,0.693333333,0.406666667,0.733333333,0.413333333,0.853333333,0.413333333,0.886666667,0.566666667,0.66,0.586666667,0.82,0.573333333,0.9,0.466666667,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0.46,0.673333333,0.48,0.693333333,0.406666667,0.733333333,0.413333333,0.853333333,0.413333333,0.886666667,0.566666667,0.66,0.586666667,0.82,0.573333333,0.9,0.466666667,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0.46,0.673333333,0.48,0.693333333,0.406666667,0.733333333,0.413333333,0.853333333,0.413333333,0.886666667,0.566666667,0.66,0.586666667,0.82,0.573333333,0.9,0.466666667,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0.46,0.673333333,0.48,0.693333333,0.406666667,0.733333333,0.413333333,0.853333333,0.413333333,0.886666667,0.566666667,0.66,0.586666667,0.82,0.573333333,0.9,0.466666667,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0.46,0.673333333,0.48,0.693333333,0.406666667,0.733333333,0.413333333,0.853333333,0.413333333,0.886666667,0.566666667,0.66,0.586666667,0.82,0.573333333,0.9,0.466666667,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0.46,0.673333333,0.48,0.693333333,0.406666667,0.733333333,0.413333333,0.853333333,0.413333333,0.886666667,0.566666667,0.66,0.586666667,0.82,0.573333333,0.9,0.466666667,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0.46,0.673333333,0.48,0.693333333,0.406666667,0.733333333,0.413333333,0.853333333,0.413333333,0.886666667,0.566666667,0.66,0.586666667,0.82,0.573333333,0.9,0.466666667,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0.46,0.673333333,0.48,0.693333333,0.406666667,0.733333333,0.413333333,0.853333333,0.413333333,0.886666667,0.566666667,0.66,0.586666667,0.82,0.573333333,0.9,0.466666667,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0.46,0.673333333,0.48,0.693333333,0.406666667,0.733333333,0.413333333,0.853333333,0.413333333,0.886666667,0.566666667,0.66,0.586666667,0.82,0.573333333,0.9,0.466666667,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
