,nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x,Relbow_y,Rwrist_x,Rwrist_y,Lshoulder_x,Lshoulder_y,Lelbow_x,Lelbow_y,Lwrist_x,Lwrist_y,Rhip_x,Rhip_y,Rknee_x,Rknee_y,Rankle_x,Rankle_y,Lhip_x,Lhip_y,Lknee_x,Lknee_y,Lankle_x,Lankle_y,Reye_x,Reye_y,Leye_x,Leye_y,Rear_x,Rear_y,Lear_x,Lear_y,class
0,0.64,0.4,0.533333333,0.453333333,0.28,0.426666667,0.08,0.786666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.64,0.4,0.533333333,0.453333333,0.28,0.426666667,0.08,0.786666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,0.64,0.4,0.533333333,0.453333333,0.28,0.426666667,0.08,0.786666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,0.64,0.4,0.533333333,0.453333333,0.28,0.426666667,0.08,0.786666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,0.613333333,0.38,0.526666667,0.433333333,0.28,0.413333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,0.613333333,0.38,0.526666667,0.433333333,0.28,0.413333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,0.613333333,0.38,0.526666667,0.433333333,0.28,0.413333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7,0.586666667,0.36,0.52,0.426666667,0.26,0.413333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8,0.586666667,0.36,0.52,0.426666667,0.26,0.413333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0.586666667,0.36,0.52,0.426666667,0.26,0.413333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
